,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
0,1,Terminator: Dark Fate,2019,18+,6.2,81,Action & Adventure,0,1
1,2,Gemini Man,2019,13+,5.7,74,Action & Adventure,0,1
2,3,Rambo: Last Blood,2019,18+,6.1,72,Action & Adventure,0,1
3,4,The Courier,2019,18+,4.9,50,Action & Adventure,0,1
4,5,Crawl,2019,18+,6.1,79,Action & Adventure,0,1
5,6,The Kill Team,2019,18+,5.9,61,Action & Adventure,0,1
6,7,The Rhythm Section,2020,18+,5.3,63,Action & Adventure,0,1
7,8,Legionnaire's Trail,2020,18+,3.1,39,Action & Adventure,0,1
8,9,The Avengers,2012,13+,8.0,94,Action & Adventure,0,1
9,10,Escape Plan: The Extractors,2019,18+,4.4,49,Action & Adventure,0,1
10,11,Primal,2019,18+,4.9,55,Action & Adventure,0,1
11,12,Danger Close,2019,18+,6.8,73,Action & Adventure,0,1
12,13,Kill Chain,2020,18+,5.0,47,Action & Adventure,0,1
13,14,Bumblebee,2018,13+,6.8,84,Action & Adventure,0,1
14,15,Trauma Center,2019,18+,4.4,51,Action & Adventure,0,1
15,16,Line of Duty,2019,18+,5.3,59,Action & Adventure,0,1
16,17,The Aeronauts,2019,13+,6.6,79,Action & Adventure,0,1
17,18,Train to Busan,2016,,7.6,90,Action & Adventure,0,1
18,19,Assassin 33 A.D.,2020,13+,3.5,64,Action & Adventure,0,1
19,20,Hacker,2019,,5.2,44,Action & Adventure,0,1
20,21,Hell on the Border,2019,18+,4.1,47,Action & Adventure,0,1
21,22,Mission: Impossible - Fallout,2018,13+,7.7,84,Action & Adventure,0,1
22,23,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,7+,7.0,64,Action & Adventure,0,1
23,24,The First King,2019,18+,6.5,54,Action & Adventure,0,1
24,25,Escape Plan 2: Hades,2018,18+,3.9,49,Action & Adventure,0,1
25,26,The Last Sharknado: It's About Time,2018,16+,3.5,47,Action & Adventure,0,1
26,27,Along with the Gods: The Two Worlds,2017,7+,7.3,73,Action & Adventure,0,1
27,28,The Jurassic Games,2018,,3.8,53,Action & Adventure,0,1
28,29,Overlord,2018,18+,6.6,81,Action & Adventure,0,1
29,30,7 Guardians of the Tomb,2018,13+,4.4,42,Action & Adventure,0,1
30,31,Hard Night Falling,2019,18+,3.5,41,Action & Adventure,0,1
31,32,Iron Man 2,2010,13+,7.0,85,Action & Adventure,0,1
32,33,Thor,2011,13+,7.0,86,Action & Adventure,0,1
33,34,Asterix the Gaul,1967,all,6.6,53,Animation,0,1
34,35,SlugTerra: Return of the Elementals,2014,7+,6.4,48,Animation,0,1
35,36,Ooops! Noah is Gone...,2015,all,5.8,57,Animation,0,1
36,37,Shark Bait,2006,all,4.2,41,Animation,0,1
37,38,Love Live! The School Idol Movie,2015,,7.2,49,Animation,0,1
38,39,The Stolen Princess: Ruslan and Ludmila,2018,,6.1,56,Animation,0,1
39,40,Video Games: The Movie,2014,,6.1,53,Animation,0,1
40,41,Donkey X,2007,7+,4.6,32,Animation,0,1
41,42,Maya the Bee Movie,2014,all,5.9,55,Animation,0,1
42,43,Ernest & Celestine,2012,7+,7.9,80,Animation,0,1
43,44,Blame!,2017,13+,6.7,59,Animation,0,1
44,45,Spark: A Space Tail,2016,7+,4.5,44,Animation,0,1
45,46,Maya the Bee: The Honey Games,2018,all,5.6,49,Animation,0,1
46,47,Hulk Vs.,2009,13+,7.0,73,Animation,0,1
47,48,Top Cat Begins,2015,7+,4.2,38,Animation,0,1
48,49,Tarzan,2013,all,4.8,51,Animation,0,1
49,50,A Turtle's Tale 2: Sammy's Escape from Paradise,2012,,5.6,50,Animation,0,1
50,51,Delirium,2018,18+,5.7,53,Animation,0,1
51,52,Puzzle,2018,18+,6.7,70,Animation,0,1
52,53,A Turtle's Tale: Sammy's Adventures,2010,all,6.0,59,Animation,0,1
53,54,The Plague Dogs,1982,13+,7.8,72,Animation,0,1
54,55,My Way,2012,,6.9,64,Biography,0,1
55,56,Electric Slide,2014,18+,4.7,40,Biography,0,1
56,57,Manson: Music From an Unsound Mind,2019,,7.0,40,Biography,0,1
57,58,Flight of the Butterflies,2012,all,7.0,66,Biography,0,1
58,59,Hawking,2013,18+,7.3,65,Biography,0,1
59,60,England Is Mine,2017,,5.8,53,Biography,0,1
60,61,The King's Choice,2016,,7.1,75,Biography,0,1
61,62,The Bell Witch Haunting,2013,,3.6,31,Biography,0,1
62,63,The Brothers Warner,2009,,7.3,43,Biography,0,1
63,64,More than a Game,2008,7+,7.6,72,Biography,0,1
64,65,Paul Williams Still Alive,2011,13+,6.9,64,Biography,0,1
65,66,Nina Conti: Her Master's Voice,2012,13+,7.5,49,Biography,0,1
66,67,Little Dieter Needs to Fly,1997,,8.0,76,Biography,0,1
67,68,The Music of Silence,2017,,6.6,50,Biography,0,1
68,69,Another Country,1984,7+,7.1,71,Biography,0,1
69,70,Chasing Beauty,2013,,6.1,31,Biography,0,1
70,71,Eames: The Architect and the Painter,2011,,7.2,66,Biography,0,1
71,72,Swimming Upstream,2003,13+,7.1,66,Biography,0,1
72,73,The Private Life of Henry VIII,1933,,7.1,69,Biography,0,1
73,74,Trumbo,2007,13+,7.4,66,Biography,0,1
74,75,Not a War Story,2017,,6.6,36,Biography,0,1
75,76,The Image Revolution,2013,,7.2,48,Biography,0,1
76,77,Marianne & Leonard: Words of Love,2019,18+,6.9,63,Biography,0,1
77,78,Candyman: The David Klein Story,2010,,6.5,36,Biography,0,1
78,79,Showrunners: The Art of Running a TV Show,2014,,6.7,58,Biography,0,1
79,80,Joseph Smith: Prophet of the Restoration,2005,,7.8,47,Biography,0,1
80,81,The Devil's Violinist,2013,18+,6.1,53,Biography,0,1
81,82,Antarctica: A Year on Ice,2013,7+,7.6,69,Biography,0,1
82,83,Gascoigne,2015,13+,7.1,62,Biography,0,1
83,84,Facing Ali,2009,18+,8.0,58,Biography,0,1
84,85,The Enigma of Kaspar Hauser,1974,,7.8,78,Biography,0,1
85,86,Pablo,2012,,6.6,40,Biography,0,1
86,87,Armstrong,2019,,6.9,65,Biography,0,1
87,88,Alien Origin,2012,,1.9,25,Biography,0,1
88,89,Becoming Astrid,2018,,7.1,72,Biography,0,1
89,90,Altman,2014,7+,6.8,63,Biography,0,1
90,91,Sacco & Vanzetti,1971,,7.8,65,Biography,0,1
91,92,The Trials of Muhammad Ali,2013,,7.3,66,Biography,0,1
92,93,King: Man of Peace in a Time of War,2007,,6.6,34,Biography,0,1
93,94,Gordon Lightfoot: If You Could Read My Mind,2019,,7.7,51,Biography,0,1
94,95,Song of Granite,2017,,6.6,54,Biography,0,1
95,96,Scott Walker: 30 Century Man,2007,all,7.2,62,Biography,0,1
96,97,The Real Bruce Lee,1977,,4.7,38,Biography,0,1
97,98,Drew: The Man Behind the Poster,2013,,7.5,59,Biography,0,1
98,99,Lauda: The Untold Story,2015,,6.4,41,Biography,0,1
99,100,Pantani: The Accidental Death of a Cyclist,2014,7+,7.0,63,Biography,0,1
100,101,Casting By,2012,16+,7.6,70,Biography,0,1
101,102,Good Vibrations,2012,,7.2,72,Biography,0,1
102,103,The Maestro,2020,,5.8,40,Biography,0,1
103,104,The Bit Player,2019,,7.3,46,Biography,0,1
104,105,Blow the Man Down,2019,18+,6.4,76,Comedy,0,1
105,106,Love Live! The School Idol Movie,2015,,7.2,49,Comedy,0,1
106,107,My Name Is Nobody,1973,7+,7.5,80,Comedy,0,1
107,108,This Beautiful Fantastic,2016,7+,6.9,69,Comedy,0,1
108,109,My Awkward Sexual Adventure,2012,18+,6.1,67,Comedy,0,1
109,110,Sex and the Teenage Mind,2002,18+,4.1,39,Comedy,0,1
110,111,The Stolen Princess: Ruslan and Ludmila,2018,,6.1,56,Comedy,0,1
111,112,The Aristocrats,2005,,6.4,57,Comedy,0,1
112,113,House,1986,18+,6.2,66,Comedy,0,1
113,114,The Mexican,2001,18+,6.1,68,Comedy,0,1
114,115,Landline,2017,18+,6.4,65,Comedy,0,1
115,116,Chaplin,1992,13+,7.6,79,Comedy,0,1
116,117,MacGruber,2010,18+,5.5,63,Comedy,0,1
117,118,The Dressmaker,2015,18+,7.1,74,Comedy,0,1
118,119,Porky's II: The Next Day,1983,18+,5.1,51,Comedy,0,1
119,120,Paterson,2016,18+,7.4,81,Comedy,0,1
120,121,Saving Face,2004,18+,7.4,77,Comedy,0,1
121,122,Two Night Stand,2014,18+,6.4,67,Comedy,0,1
122,123,Beyond Re-Animator,2003,18+,5.8,58,Comedy,0,1
123,124,American Ninja 2: The Confrontation,1987,18+,4.9,47,Comedy,0,1
124,125,Art School Confidential,2006,18+,6.3,57,Comedy,0,1
125,126,The Return of Swamp Thing,1989,13+,4.7,51,Comedy,0,1
126,127,I'll See You in My Dreams,2015,13+,6.7,61,Comedy,0,1
127,128,Coneheads,1993,7+,5.3,63,Comedy,0,1
128,129,Diary of a Mad Black Woman,2005,13+,5.8,64,Comedy,0,1
129,130,The Jewel of the Nile,1985,7+,6.2,65,Comedy,0,1
130,131,Last Flag Flying,2017,18+,6.9,74,Comedy,0,1
131,132,Trees Lounge,1996,18+,7.1,73,Comedy,0,1
132,133,Maya the Bee Movie,2014,all,5.9,55,Comedy,0,1
133,134,Thank You for Smoking,2005,18+,7.6,86,Comedy,0,1
134,135,Rudderless,2014,18+,7.5,73,Comedy,0,1
135,136,Wayne's World 2,1993,13+,6.2,72,Comedy,0,1
136,137,Ernest & Celestine,2012,7+,7.9,80,Comedy,0,1
137,138,Kid Cannabis,2014,,6.4,66,Comedy,0,1
138,139,Bad News Bears,2005,13+,5.8,62,Comedy,0,1
139,140,Mad Money,2008,13+,5.8,57,Comedy,0,1
140,141,Man About Town,2006,18+,5.5,51,Comedy,0,1
141,142,Not Another Happy Ending,2013,,6.2,55,Comedy,0,1
142,143,Private Parts,1997,18+,6.9,72,Comedy,0,1
